Feature 1,Feature 2,Correlation
away_3PA_avg10,away_3PA_rate,0.9913397659678636
home_3PA_avg10,home_3PA_rate,0.99128048018032
away_3PA_avg10,away_3PM_avg10,0.9716913679017898
home_3PA_avg10,home_3PM_avg10,0.9709401567994651
away_eFG_avg,away_ts_percentage_avg,0.9699526992059364
home_eFG_avg,home_ts_percentage_avg,0.9694673127777854
away_3PA_rate,away_3PM_avg10,0.9679162374656406
home_3PA_rate,home_3PM_avg10,0.9674401995462467
TS_diff_avg,eFG_avg_diff,0.9566437926510892
away_FTA_avg10,away_FTR_avg,0.9476459304452013
home_FTA_avg10,home_FTR_avg,0.9475453627050163
away_FTA_avg10,away_FTM_avg10,0.9262570010078351
home_FTA_avg10,home_FTM_avg10,0.9251044309020026
away_FGM_avg10,away_PTS_avg10,0.9199306845551634
home_FGM_avg10,home_PTS_avg10,0.918973968704178
FG_percent_diff_avg,eFG_avg_diff,0.9145701124477161
away_ORB_rate,away_OREB_avg10,0.9137277725866068
home_ORB_rate,home_OREB_avg10,0.9121690337625603
FG_percent_diff_avg,TS_diff_avg,0.8831224304961283
ORB_rate_diff,REB_diff_avg,0.8722726575892233
away_FG%_avg10,away_eFG_avg,0.8716828132496398
away_FG%_avg10,away_ts_percentage_avg,0.870598516448783
home_FG%_avg10,home_eFG_avg,0.8697720545488128
home_FG%_avg10,home_ts_percentage_avg,0.8684969045089246
away_FTM_avg10,away_FTR_avg,0.8639949231137777
home_FTM_avg10,home_FTR_avg,0.8618349761396712
away_FGA_avg10,away_pace_est,0.8356585634590186
home_FGA_avg10,home_pace_est,0.8349068330821225
away_PTS_avg10,away_eFG_avg,0.8338633565472895
home_PTS_avg10,home_eFG_avg,0.8304486988364944
away_PTS_avg10,away_ts_percentage_avg,0.8249630530196093
home_PTS_avg10,home_ts_percentage_avg,0.8220323661408508
